DATE,#GUESTS,DAILY SALES
"06-Mar, 2009",707,"$6,472.22"
"07-Mar, 2009",773,"$6,682.51"
"08-Mar, 2009",436,"$4,045.56"
"09-Mar, 2009",350,"$3,088.88"
"10-Mar, 2009",331,"$2,910.65"
"11-Mar, 2009",343,"$2,979.96"
"12-Mar, 2009",424,"$3,704.86"
"13-Mar, 2009",671,"$6,066.32"
"14-Mar, 2009",844,"$6,628.26"
"15-Mar, 2009",456,"$4,047.23"
"16-Mar, 2009",277,"$2,298.27"
"17-Mar, 2009",307,"$2,539.94"
"18-Mar, 2009",337,"$2,851.39"
"19-Mar, 2009",391,"$3,383.33"
"20-Mar, 2009",637,"$5,539.59"
"21-Mar, 2009",719,"$6,362.34"
"22-Mar, 2009",503,"$4,581.86"
"23-Mar, 2009",288,"$2,444.64"
"24-Mar, 2009",316,"$2,643.62"
"25-Mar, 2009",491,"$4,177.22"
"26-Mar, 2009",333,"$2,754.30"
"27-Mar, 2009",642,"$5,785.65"
"28-Mar, 2009",554,"$4,872.48"
"29-Mar, 2009",459,"$4,065.15"
"30-Mar, 2009",320,"$2,780.10"
"31-Mar, 2009",331,"$2,827.16"
"01-Apr, 2009",373,"$3,245.15"
"02-Apr, 2009",401,"$3,359.35"
"03-Apr, 2009",733,"$6,511.88"
"04-Apr, 2009",664,"$5,846.07"
"05-Apr, 2009",524,"$4,789.93"
"06-Apr, 2009",298,"$2,525.53"
"07-Apr, 2009",298,"$2,555.13"
"08-Apr, 2009",349,"$2,884.29"
"09-Apr, 2009",440,"$3,776.42"
"10-Apr, 2009",786,"$7,094.59"
"11-Apr, 2009",687,"$6,041.96"
"12-Apr, 2009",442,"$4,049.63"
"13-Apr, 2009",256,"$2,158.29"
"14-Apr, 2009",366,"$3,093.45"
"15-Apr, 2009",390,"$3,376.74"
"16-Apr, 2009",477,"$4,082.42"
"17-Apr, 2009",618,"$5,745.93"
"18-Apr, 2009",593,"$5,348.57"
"19-Apr, 2009",517,"$4,658.56"
"20-Apr, 2009",326,"$2,715.39"
"21-Apr, 2009",319,"$2,670.67"
"22-Apr, 2009",387,"$3,486.32"
"23-Apr, 2009",417,"$3,701.29"
"24-Apr, 2009",592,"$5,527.32"
"25-Apr, 2009",665,"$6,138.98"
"26-Apr, 2009",517,"$4,857.18"
"27-Apr, 2009",303,"$2,639.36"
"28-Apr, 2009",243,"$2,141.94"
"29-Apr, 2009",337,"$3,035.60"
"30-Apr, 2009",399,"$3,575.78"
"01-May, 2009",696,"$6,713.91"
"02-May, 2009",726,"$6,805.86"
"03-May, 2009",506,"$4,807.96"
"04-May, 2009",301,"$2,715.21"
"05-May, 2009",273,"$2,486.19"
"06-May, 2009",336,"$3,117.52"
"07-May, 2009",392,"$3,498.54"
"08-May, 2009",729,"$6,985.93"
"09-May, 2009",730,"$6,915.44"
"10-May, 2009",909,"$9,274.36"
"11-May, 2009",205,"$1,835.55"
"12-May, 2009",274,"$2,347.93"
"13-May, 2009",405,"$3,663.84"
"14-May, 2009",393,"$3,418.84"
"15-May, 2009",586,"$5,488.87"
"16-May, 2009",664,"$5,891.46"
"17-May, 2009",608,"$5,507.39"
"18-May, 2009",343,"$2,974.26"
"19-May, 2009",276,"$2,365.19"
"20-May, 2009",343,"$2,912.06"
"21-May, 2009",394,"$3,460.35"
